dec_from,dec_to,is_res_swapped,amount_in,amount_out,reserve_in,reserve_out,price_in_sol,volume
9,6,true,0.2541,1153.294289,4.82227225534E11,1.05727813659E11,2.203253778533191E-4,0.2541
9,6,false,1.48291E-4,303.874359,9.0510891732E10,1.85938238374788E14,4.880010293991274E-7,1.48291E-4
9,6,true,0.0423,28.919562,1.85605924285E11,2.70760757195E11,0.0014626777542481452,0.0423
6,9,false,24643.222628,0.963300561,1.199642895212E12,4.7974723336E10,3.9089877794858025E-5,0.963300561
9,6,true,0.024294383,46.18137,5.35933077878E11,2.81206332168E11,5.260645797212166E-4,0.024294383
6,9,false,34.689394,0.013747976,5.027464146231E12,1.997473977426E12,3.96316407256927E-4,0.013747976
9,6,true,0.125200171,368.078108,3.86612952809E11,1.31051068436E11,3.4014566006191276E-4,0.125200171
9,6,false,1.181E-6,2.452919,9.1275778315E10,1.90061247618399E14,4.814671825690126E-7,1.181E-6
9,9,true,1.5E-5,1087.107032,6.17659053142707E14,8.500909489E9,1.3798089386289613E-8,1.5E-5
6,9,true,2402729.14365,0.591604636,6.8322902018E10,2.74394591038743E14,2.4622194206263713E-7,0.591604636
9,6,true,0.422,1903.197607,4.81073931245E11,1.05981913659E11,2.2173209888866783E-4,0.422
9,6,true,0.0149,10.184645,1.85577004723E11,2.70803057195E11,0.001462986682402774,0.0149
9,6,false,0.097896398,289934.434511,7.7713074763E10,2.31025357445252E14,3.3765012481222146E-7,0.097896398
6,9,false,257.261186,0.087094608,3.86244874701E11,1.31176268607E11,3.385454656187428E-4,0.087094608
9,6,true,0.737618156,18865.987691,1.22428611784E12,4.7011422775E10,3.909777574761591E-5,0.737618156
6,9,true,1000.0,2.44083E-4,6.7731297382E10,2.76797320182393E14,2.44083E-7,2.44083E-4
9,6,true,0.2745,1229.90561,4.79170733638E11,1.06403913659E11,2.2318785910733428E-4,0.2745
9,6,true,0.0108,7.381459,1.85566820078E11,2.70817957195E11,0.0014631253794134737,0.0108
9,6,true,0.789916897,19568.609628,1.205420130149E12,4.7749040931E10,4.0366531502050975E-5,0.789916897
9,6,true,0.112355593,330.157775,3.86502135887E11,1.31089173999E11,3.403087902443006E-4,0.112355593
